Kernel,nu,Parameters,AUC-ROC
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.8458479532163743
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.8458479532163743
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.8458479532163743
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.8741520467836258
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.8741520467836258
Full GH Kernel,0.05,"{'alpha': 2.5, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.8741520467836258
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9585964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9585964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9585964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.960701754385965
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.960701754385965
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.960701754385965
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9698245614035088
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9698245614035088
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9698245614035088
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.9749707602339182
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.9749707602339182
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.9749707602339182
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9747368421052631
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9747368421052631
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9747368421052631
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.9770760233918129
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.9770760233918129
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.9770760233918129
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9700584795321637
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9700584795321637
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9700584795321637
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9826900584795322
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9826900584795322
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9826900584795322
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.976140350877193
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9871345029239766
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9871345029239766
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9871345029239766
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.9908771929824561
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9745029239766082
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9745029239766082
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9745029239766082
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9829239766081872
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9829239766081872
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9829239766081872
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9915789473684211
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9915789473684211
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9915789473684211
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9651461988304094
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9651461988304094
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9651461988304094
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9852631578947368
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9574269005847953
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9574269005847953
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9574269005847953
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9045614035087719
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9045614035087719
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9045614035087719
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9670175438596491
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.8287719298245615
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.8287719298245615
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.8287719298245615
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.952046783625731
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.952046783625731
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.952046783625731
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9569590643274855
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9569590643274855
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9569590643274855
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9185964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9185964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9185964912280702
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.8818713450292397
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.8818713450292397
Full GH Kernel,0.1,"{'alpha': 1.0, 'beta': 0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.8818713450292397
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9581286549707603
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9581286549707603
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9581286549707603
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.959766081871345
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9646783625730995
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9646783625730995
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9646783625730995
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9714619883040936
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9609356725146199
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9653801169590643
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9653801169590643
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9653801169590643
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9693567251461989
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9693567251461989
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9693567251461989
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9656140350877194
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9656140350877194
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9656140350877194
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9663157894736842
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.9716959064327485
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.9716959064327485
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.9716959064327485
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.9712280701754386
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.0}",0.9712280701754386
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': -0.5, 'delta': 1.5, 'lambda': 2.0, 'mu': 0.5}",0.9712280701754386
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': -0.5}",0.9588304093567251
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.0}",0.9588304093567251
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': -1.0, 'mu': 0.5}",0.9588304093567251
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': -0.5}",0.9660818713450292
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.0}",0.9660818713450292
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 0.0, 'mu': 0.5}",0.9660818713450292
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': -0.5}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.0}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 1.0, 'mu': 0.5}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': -0.5}",0.9831578947368421
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.0}",0.9831578947368421
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 0.5, 'lambda': 2.0, 'mu': 0.5}",0.9831578947368421
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': -0.5}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.0}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': -1.0, 'mu': 0.5}",0.9738011695906433
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': -0.5}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.0}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 0.0, 'mu': 0.5}",0.9735672514619883
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': -0.5}",0.9787134502923976
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.0}",0.9787134502923976
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 1.0, 'mu': 0.5}",0.9787134502923976
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': -0.5}",0.9878362573099415
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.0}",0.9878362573099415
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.0, 'lambda': 2.0, 'mu': 0.5}",0.9878362573099415
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': -0.5}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.0}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': -1.0, 'mu': 0.5}",0.9707602339181287
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': -0.5}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.0}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 0.0, 'mu': 0.5}",0.9775438596491228
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': -0.5}",0.983859649122807
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.0}",0.983859649122807
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 1.0, 'mu': 0.5}",0.983859649122807
Full GH Kernel,0.1,"{'alpha': 1.5, 'beta': 0.0, 'delta': 1.5, 'lambda': 2.0, 'mu': -0.5}",0.992280701754386
